AUC,Classifier,Distribution,RandomForestClassifier,SVC,GaussianNB,LinearDiscriminantAnalysis,MLPClassifier,DecisionTreeClassifier,LogisticRegression,AdaBoostClassifier
0.609275917074962,RandomForestClassifier,"[2288, 5241]",0.609275917074962,0.5,0.5585073242921428,0.5957755273621246,0.514517986310366,0.5407582430507513,0.5453798715332983,0.5828934888906881
0.6180009088414071,RandomForestClassifier,"[2461, 5241]",0.6180009088414071,0.5,0.5541808421535703,0.5979029988214426,0.5433129234738011,0.5439630718650121,0.5618758493748104,0.5964554652318433
0.5730510924008744,GaussianNB,"[1319, 5241]",0.533879238718388,0.5,0.5730510924008744,0.5485891198950086,0.5,0.5436393849698102,0.503526639663499,0.5380778300216686
0.6063814486737954,RandomForestClassifier,"[2300, 5241]",0.6063814486737954,0.5,0.5595592769163671,0.5984067997132532,0.5274293033351881,0.54606181603076,0.549835295945939,0.5935000676762968
0.5768422462670009,GaussianNB,"[3921, 5241]",0.5355036480240951,0.5,0.5768422462670009,0.5264829613316527,0.5118429189857762,0.5213505596548126,0.5170751072809415,0.5329220602189523
0.560982508019537,GaussianNB,"[3626, 5241]",0.5442926523777671,0.5,0.560982508019537,0.5311273611188445,0.5126165122119744,0.5243737779289065,0.5254522770540503,0.5467619258675387
0.5757780160163491,RandomForestClassifier,"[3269, 5241]",0.5757780160163491,0.5,0.5565230136881467,0.55958481820836,0.526806183542843,0.5385552186011615,0.5340996576168996,0.5751968688181492
0.5908361471094526,RandomForestClassifier,"[1944, 5241]",0.5908361471094526,0.5,0.5576447333466417,0.5781624027796435,0.5012076159564645,0.5587633277740758,0.5169930110103393,0.5715093161572653
0.5911780619544136,RandomForestClassifier,"[1939, 5241]",0.5911780619544136,0.5,0.5603721333923076,0.5796704757916571,0.5019628024097454,0.544289663248843,0.515276408762792,0.5806401776418009
0.6398952593695707,GaussianNB,"[501, 5241]",0.5038749069247952,0.5,0.6398952593695707,0.533096053611318,0.5,0.5422650781831719,0.49978902953586496,0.520549019607843
0.6009221459226759,RandomForestClassifier,"[2932, 5241]",0.6009221459226759,0.5,0.5556147125579851,0.5925399595281731,0.5543170422804959,0.5359746027402315,0.5596578698119834,0.5803006727654303
0.6022457407536153,GaussianNB,"[685, 5241]",0.5038310678082182,0.5,0.6022457407536153,0.5303858911985848,0.5,0.5232915242315901,0.5040719199138906,0.5200350737901215
0.5589773143287404,GaussianNB,"[3608, 5241]",0.5477968962192215,0.5,0.5589773143287404,0.5346034318873515,0.5137441694671694,0.5317553258943105,0.5226428107208438,0.5432680532303428
0.608336422041018,RandomForestClassifier,"[2841, 5241]",0.608336422041018,0.5,0.559343495181616,0.5960265319990116,0.5489785643686681,0.5347759142574746,0.5693970842599455,0.5895430256980478
0.5912902797931547,RandomForestClassifier,"[1923, 5241]",0.5912902797931547,0.5,0.5583069507123086,0.5782934051571879,0.5085102894849596,0.5399412576617068,0.5153191878938197,0.5819002478123914
0.5725254658735937,GaussianNB,"[3862, 5241]",0.5384162558266451,0.5,0.5725254658735937,0.5303477700388374,0.5073097487683318,0.5315410790457319,0.5197120082481281,0.5457058294390598
0.5644706610367288,GaussianNB,"[3713, 5241]",0.5365711625650356,0.5,0.5644706610367288,0.5298438489980994,0.5051309987268124,0.5242986790128807,0.522215558602807,0.5439161807155939
0.5830723384061334,GaussianNB,"[730, 5241]",0.5036858730978344,0.5,0.5830723384061334,0.5201408878694965,0.5,0.5289701580437487,0.5019439297755369,0.5288922980384104
0.6134933996104922,RandomForestClassifier,"[2695, 5241]",0.6134933996104922,0.5,0.5574523575525433,0.6045771565984094,0.5553363635325889,0.5497476483527611,0.5707798283086909,0.5997188800813121
0.5741140034990767,GaussianNB,"[1286, 5241]",0.5268840724547506,0.5,0.5741140034990767,0.5491281850462977,0.5002613342729622,0.5485836623706896,0.5038094072254038,0.5478858961914553
0.6075017226011056,RandomForestClassifier,"[2287, 5241]",0.6075017226011056,0.5,0.5589114161637573,0.5986118238167738,0.5170720288184129,0.5380895859349136,0.5528409785974577,0.5835365439375233
